Age,Annual_Income,Total_Purchases,Average_Ticket,Total_Spending,Loyalty_Points,Website_Visits,Days_Since_Last_Purchase,Online_Purchases
34,49072,13,271.99,4322.48,10062,52,233,6
60,33441,23,126.36,3548.86,8747,189,152,21
42,20302,18,67.69,1543.43,1872,157,163,16
43,85606,25,630.79,17449.74,42802,167,124,19
44,31539,23,117.14,2755.44,7749,221,105,22
32,37868,18,197.49,4336.03,10042,136,173,14
37,49652,18,272.76,4395.27,11648,82,177,8
28,33779,5,87.01,50.0,99,5,372,1
46,39421,17,281.42,4331.09,10816,62,209,3
43,43376,18,384.79,6588.4,16797,171,173,16
56,74487,27,548.98,14483.19,38037,154,64,18
25,23243,21,84.09,1595.4,4824,160,118,21
23,39302,5,213.55,1192.6,2015,5,273,1
21,23182,21,172.2,4300.14,11010,184,103,19
45,25299,24,150.63,4193.11,9365,224,175,21
41,31533,11,159.54,738.04,860,129,241,11
28,30221,6,121.6,1053.18,1535,5,314,0
18,40118,16,256.3,4454.18,11549,130,191,12
36,38724,6,149.51,862.15,1794,39,315,1
20,18581,20,85.55,1675.75,5958,226,197,22
35,29703,13,149.5,2773.22,6234,129,230,11
36,31538,21,139.75,2352.98,7339,192,210,21
30,34093,16,179.58,3203.82,8846,110,214,16
24,34227,18,144.93,2880.31,9397,150,165,15
50,60714,21,494.88,10446.11,27402,118,175,13
48,80741,27,584.35,14448.73,35939,162,53,17
51,29551,20,157.56,3008.87,7846,107,193,6
18,33654,8,113.45,767.85,3985,52,320,1
41,50568,20,311.67,6335.33,17480,83,165,7
31,49432,20,229.33,4816.14,11923,92,158,7
26,28660,16,167.24,2467.75,7056,114,228,14
46,20601,13,81.01,653.05,988,56,246,6
45,35369,6,166.17,1557.37,3354,80,274,4
38,62693,22,350.33,7424.81,20184,80,118,7
47,63417,12,476.74,5952.84,15787,5,240,6
20,32165,6,122.51,1285.82,2000,14,334,3
29,34865,8,142.82,1550.72,5889,97,291,7
54,36856,28,179.95,5109.03,12579,249,69,25
43,42632,14,336.65,4604.38,12204,90,295,8
40,33380,3,171.51,174.99,0,80,358,3
42,31653,17,106.94,1432.57,3892,196,199,16
49,30095,20,247.67,4986.47,11333,100,238,6
42,47752,12,236.78,2090.58,5566,80,258,6
29,33514,15,142.93,2044.59,5947,131,284,13
29,33256,12,123.77,1960.45,6619,92,241,6
53,78867,18,580.93,10361.94,27736,120,202,14
29,36187,14,209.6,3578.08,8007,99,259,11
46,30339,22,104.73,2781.43,8239,139,149,17
41,85491,22,665.35,14465.13,36764,184,138,16
36,26909,29,93.86,2618.35,5777,225,78,25
31,26230,16,88.26,2875.19,9504,147,263,19
35,31030,17,171.44,2198.12,5324,172,154,17
51,41069,21,256.67,4581.22,11410,85,158,10
54,45423,23,224.86,4988.05,14053,110,60,10
40,66077,30,516.33,15188.94,39529,205,53,18
52,58940,10,290.48,3200.34,7692,33,314,3
44,55811,26,355.19,9575.04,24422,147,126,14
43,63959,22,518.31,11682.41,29391,144,127,13
32,31454,20,124.45,2632.96,8190,161,216,18
36,52612,22,449.73,10431.35,26387,95,122,11
41,36333,16,225.24,3279.43,10927,128,231,13
23,32515,21,130.87,3324.98,9089,193,184,18
51,36723,26,134.47,3618.07,10910,229,177,23
20,38554,10,183.69,1542.53,4279,74,314,3
18,46019,26,297.0,8003.9,20532,144,138,15
41,84208,32,580.17,19022.64,48325,219,14,22
38,31540,20,173.18,4209.91,10741,137,173,19
49,80391,22,644.66,13256.62,34467,177,181,17
18,31916,10,149.04,862.68,800,74,268,9
37,28607,20,80.3,2193.78,7793,140,122,17
39,39966,22,139.71,4117.53,11790,164,169,19
65,54623,16,300.96,5339.79,15683,111,204,7
27,35448,7,134.31,753.23,1023,67,274,4
53,48378,20,282.48,5321.38,11928,111,140,9
27,88558,25,651.13,17327.41,43160,142,125,17
45,63742,13,409.35,4997.61,14082,130,254,9
23,33590,19,156.49,2474.12,6917,184,194,18
36,26597,2,213.67,1105.09,3011,5,393,2
46,34551,22,110.32,1969.8,4597,160,180,17
32,18000,4,115.62,704.39,1892,5,346,5
73,44971,17,179.74,3228.82,8420,164,208,15
30,55448,22,317.69,7827.94,19008,81,78,7
45,63757,24,451.29,11338.71,31112,104,135,10
44,33585,17,234.31,3120.54,9055,80,116,5
46,71122,20,468.46,9254.68,24561,160,186,15
40,37333,25,129.51,3150.49,8589,241,90,25
42,23159,22,64.13,1546.36,4487,247,139,23
53,80874,21,537.01,10746.37,27114,170,164,14
55,32890,17,147.03,1817.79,4690,133,196,15
40,41661,21,188.02,2782.47,6358,205,181,19
32,34435,15,107.11,1668.54,4718,135,235,12
48,59094,11,372.9,3358.41,8666,69,258,8
56,33682,11,132.93,1353.47,2843,88,225,7
32,36227,15,252.67,2833.88,8360,40,187,3
55,56688,16,540.29,8743.23,23092,98,206,9
33,94894,20,703.26,13911.36,34951,160,161,14
29,35396,21,152.72,3939.85,10702,190,162,21
43,36272,15,128.41,1811.83,4925,122,187,12
34,76164,22,590.22,13460.33,35558,181,227,15
45,43491,8,184.5,551.64,861,37,268,4
39,23586,15,205.38,2783.38,7352,108,180,6
35,41732,16,211.6,3059.32,7919,88,266,10
45,35057,20,184.22,4099.53,10803,169,174,20
44,28895,10,96.65,1100.81,4383,37,294,5
18,29259,19,197.4,4526.16,13263,169,120,16
35,51490,13,208.85,3192.15,6673,39,197,8
28,36447,21,167.34,3509.13,10054,163,163,15
33,37447,21,166.03,3641.69,8945,183,205,15
41,39885,16,152.05,2777.53,7850,69,189,8
38,58072,18,323.01,6314.36,15587,114,202,10
52,60080,17,416.64,7269.33,19787,112,198,8
45,46210,9,224.81,2059.14,5699,12,280,4
61,55713,18,325.77,6398.21,15587,128,191,7
42,50845,19,305.01,5673.81,14324,61,175,6
43,68697,21,487.19,9690.06,25760,126,124,16
43,27544,13,158.95,1932.28,4224,47,246,6
27,37038,21,167.19,3871.98,10211,141,129,16
40,36407,11,126.44,1193.25,1359,48,240,5
27,37335,15,166.82,3083.47,8381,112,214,12
45,85339,21,623.05,12837.61,32406,120,142,12
44,82821,26,609.6,15682.98,40547,261,1,23
22,34318,23,179.24,4118.9,11519,198,178,21
53,40347,18,150.74,3781.99,8600,151,189,16
23,30277,19,208.59,4197.15,9636,154,203,17
22,23714,18,141.61,2756.91,8612,103,221,13
46,92939,36,756.51,27284.55,69617,215,1,23
38,47286,4,268.4,590.86,83,67,371,2
37,34265,8,134.19,1348.14,1768,40,275,4
25,23888,16,132.07,885.49,879,155,212,14
52,49960,15,332.02,4953.29,13200,56,222,6
31,47314,12,239.2,3399.15,9900,159,283,11
23,29173,17,189.0,3220.03,6501,175,175,15
44,49559,21,298.8,6373.06,16752,76,187,8
44,45125,15,239.1,3535.54,11499,33,237,3
28,39850,6,239.66,1954.49,4114,58,334,3
53,61040,23,475.61,11520.64,27774,109,135,9
36,42511,7,211.96,897.61,1897,45,294,4
35,51861,24,359.0,10345.0,26705,160,162,12
44,26644,25,130.3,2871.82,7780,172,123,21
51,77834,28,625.56,17370.15,42960,191,17,21
44,35929,17,176.89,2809.75,5581,70,221,11
43,22266,14,121.27,1910.55,5435,158,224,13
39,52517,25,483.54,13358.6,34732,195,181,18
27,47847,6,210.68,1420.19,3986,34,307,3
