tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
-18.618837,-22.19165,0,3
20.502535,44.8567,1,5
1.2682328,30.81298,1,5
80.862465,-16.187387,2,2
13.235869,57.07395,1,5
-27.343605,34.28685,1,5
3.1116583,-12.955922,3,3
-57.889748,-34.481293,0,4
-3.5063462,-23.423515,0,3
27.281439,-22.105919,3,2
69.47771,-15.510367,2,2
-10.422283,44.280155,1,5
-53.630253,-21.135134,0,4
-13.0078745,67.588104,1,1
16.668453,54.10228,1,5
-18.556646,4.886489,0,5
-55.527233,-30.18534,0,4
-36.285637,35.43625,1,1
-46.57768,-34.479477,0,4
-28.831577,62.435253,1,1
-23.382952,11.1397295,1,5
1.7295455,40.935467,1,5
-28.485685,28.213911,1,5
-20.481077,35.939728,1,1
44.562458,-22.03406,3,2
71.51499,-15.758529,2,2
-8.913181,-18.161325,3,3
-53.770966,-16.78562,0,4
12.542727,-19.713295,3,3
-1.3918959,-9.323396,3,4
-42.826202,25.00549,1,5
-26.54403,-37.83601,0,4
-30.425747,-42.0535,0,4
23.653402,-10.452134,3,3
0.82500327,-39.97022,3,2
-58.575127,-22.027363,0,4
-39.83527,-14.484373,0,1
14.595221,62.905518,1,5
-8.601805,-34.858116,0,3
-47.69038,-40.213783,0,4
2.3645046,37.263775,1,5
-8.800173,-20.055801,3,3
-16.279573,-32.17588,0,4
-37.791626,15.861178,1,5
-38.902664,-3.214554,0,4
46.736156,-26.60209,2,2
-36.1363,12.829491,0,1
12.949946,35.219296,1,5
68.98088,-24.761162,2,2
10.496644,62.290302,1,5
-29.283049,43.41226,1,5
-8.919237,35.432377,1,5
7.865683,-24.624031,3,3
29.789854,2.9315398,3,3
80.4342,-3.2124436,2,2
-23.630102,-47.12467,0,4
37.800385,3.3400304,3,3
50.728424,-10.69304,2,2
-21.887905,43.720104,1,5
32.08419,-11.901322,3,2
-5.514508,10.805571,1,5
-23.457087,59.717224,1,1
15.330852,52.932186,1,5
-51.025566,-16.01441,0,4
18.169695,8.902768,1,3
86.451225,-6.6813083,2,2
-2.507843,45.850155,1,5
63.4424,-21.118069,2,2
-48.9178,3.2492664,0,1
-6.0022807,42.34782,1,5
4.3448925,48.42797,1,5
17.133774,-34.461754,3,3
-40.595238,-13.768822,0,4
12.695586,-26.412275,3,3
78.93207,-16.069445,2,2
27.229757,-38.60989,3,3
-26.890972,57.819046,1,1
-52.16846,-42.335857,0,4
11.985568,36.976997,1,5
-54.509735,-36.546364,0,4
18.567398,22.357912,3,5
17.311329,3.937566,3,3
36.742283,-16.563057,3,3
-2.929579,-16.396088,3,3
49.33723,-19.768055,3,2
11.48849,62.578106,1,5
17.981998,56.687576,1,5
56.522778,-19.841427,2,2
12.700162,24.442715,1,5
4.7269373,45.642357,1,5
-23.306541,14.954466,1,5
-3.2341907,-41.374664,0,3
-18.625904,-51.263283,0,4
-27.389803,-25.258986,0,3
40.469105,-28.208998,3,2
69.63615,-27.27913,2,2
-2.6844766,57.166447,1,5
-7.030772,15.596707,1,5
64.197716,-26.414188,2,2
-28.699,-43.01036,0,4
-11.348039,-13.269876,0,3
-28.312826,6.6970844,0,3
5.369412,44.020756,1,5
-32.768307,-38.77053,0,4
-17.090073,56.12453,1,1
-17.093124,-24.333641,0,4
-15.581872,50.81501,1,1
-22.300842,45.48171,1,1
-6.518671,-18.329836,0,4
16.493593,-13.860966,3,3
21.81247,-33.193783,3,3
-32.6476,-30.144424,0,4
17.433186,-33.260777,3,3
6.7318463,-22.005333,3,3
48.600075,-8.386836,2,2
-27.351778,-32.912224,0,4
-13.641477,52.440548,1,5
-28.79014,-32.69616,0,4
-34.433086,20.597292,1,5
60.279667,-25.135427,2,2
82.56415,-6.6611896,2,2
-17.996101,62.249195,1,1
16.706236,31.04944,1,5
-23.718359,49.419994,1,1
-42.500195,26.967295,1,1
91.306755,-10.056272,2,2
-44.564762,-26.178633,0,4
-46.50542,-32.12249,0,4
-47.848537,31.418377,1,1
5.776011,-35.616516,3,3
-30.48852,20.068464,1,5
-32.541286,51.306316,1,1
13.473407,-20.065306,3,3
-13.12885,-38.94415,0,4
-48.31808,-23.188358,0,4
37.338097,-18.183672,3,3
